spotify_id,scraper_name,chartmasters_name,scraper_image_url,mb_id,mb_type_raw,parsed_artist_type,gender,country,birth_date,death_date,disband_date,debut_year,member_count,genres,primary_genre,secondary_genre,is_dead,is_disbanded
1yR65psqiazQpeM79CcGh8,Marília Mendonça,Marília Mendonça,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb82541986e1e91ecd556ef72c,caeef712-a58f-469b-bfb6-edbd47612cdd,Person,solo,female,BR,1995-07-22,2021-11-05,,2014,1,sertanejo; sertanejo universitário,latin,,TRUE,
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,Gucci Mane,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5ebb9b77f64bd278ffde2c94428,36494952-f434-45d8-a958-8b4acdbcf8a8,Person,solo,male,US,1980-02-12,,,2005,1,hip hop; southern hip hop; trap,hip hop,,FALSE,
6AgTAQt8XS6jRWi4sX7w49,Polo G,Polo G,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5ebbedf3bdf589da06d1567196c,7e1e5648-1d6a-4248-975a-98603e781848,Person,solo,male,US,1999-01-06,,,2018,1,chicago drill; drill; gangsta rap; hip hop; trap,hip hop,,FALSE,
17lzZA2AlOHwCwFALHttmp,2 Chainz,2 Chainz,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5ebf556662d187b9191c421be1c,dff0d392-4cd5-4052-9fbb-f485df3891e5,Person,solo,male,US,1976-09-10,,,2012,1,dirty south; hardcore hip hop; hip hop; southern hip hop; trap,hip hop,,FALSE,
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,Black Eyed Peas,https://image-cdn-fa.spotifycdn.com/image/ab6761610000e5ebb3037310c07b99cbefbd2c6d,d5be5333-4171-427e-8e12-732087c6b78e,Group,group,mixed,US,,,,1997,6,dance-pop; electronic; hip hop; pop; pop rap; west coast hip hop,hip hop,pop,,FALSE
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,Radiohead,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb4104fbd80f1f795728abbd59,a74b1b7f-71a5-4011-9441-d0b5e4122711,Group,group,male,GB,,,,1992,5,alternative rock; art pop; art rock; electronic; electronica; experimental; experimental rock; indie rock; post-britpop; rock,rock,alternative,,FALSE
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,Kid Cudi,https://image-cdn-fa.spotifycdn.com/image/ab6761610000e5eb5f00bb6dd7a7008d14156630,e0e1db18-f7ba-4dee-95ff-7ae8cf545460,Person,solo,male,US,1984-01-30,,,2008,1,alternative hip hop; hip hop; pop rap; trap,hip hop,,FALSE,
7oPftvlwr6VrsViSDV7fJY,Green Day,Green Day,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb6ff0cd5ef2ecf733804984bb,084308bd-1654-436f-ba03-df6697104e19,Group,group,male,US,,,,1989,3,alternative rock; pop punk; power pop; punk; punk rock; rock,rock,pop,,FALSE
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,Offset,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb0f794f3394223026afa7776d,92631c53-91ed-48f5-a09d-a104ba69cdc7,Person,solo,male,US,1991-12-14,,,2018,1,hip hop; southern hip hop; trap,hip hop,,FALSE,
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,Panic! At The Disco,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5ebb256ae9a4b82bfff97776ae2,b9472588-93f3-4922-a1a2-74082cdf9ce8,Group,group,male,US,,,2023-03-10,2005,1,alternative rock; baroque pop; chamber pop; electropop; emo; emo pop; pop punk; pop rock; power pop,pop,rock,,TRUE
2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,Bob Marley & The Wailers,https://i.scdn.co/image/4cd57e5e12ea2c24644c40886d65a9b22eca9802,c296e10c-110a-4103-9e77-47bfebb7fb2e,Group,group,mixed,JM,,,1981-05-11,1962,7,reggae; rocksteady; roots reggae; ska,reggae,,,TRUE
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,Fall Out Boy,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb362011ebe6064c38e97e9aac,516cef4d-0718-4007-9939-f9b38af3f784,Group,group,male,US,,,,2003,4,alternative rock; electropop; emo; emo pop; indie rock; pop; pop punk; pop rock,rock,pop,,FALSE
1pQWsZQehhS4wavwh7Fnxd,Lenny Tavárez,Lenny Tavárez,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb3afda6e209cde491e2ec3ace,9ded7dc2-70e1-4cdc-9845-27ad38c9e5fc,Person,solo,male,PR,1987-05-19,,,2013,1,latin; reggaeton; trap latino,latin,,FALSE,
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,Roddy Ricch,https://image-cdn-fa.spotifycdn.com/image/ab6761610000e5eb88d7900663b237167c4be332,5721c227-4caf-48b1-bbfc-1a4ed3276963,Person,solo,male,US,1998-10-22,,,2017,1,hip hop; trap,hip hop,,FALSE,
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,Lewis Capaldi,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5ebdc9e707b0d0e591e08d3f549,526aab94-697f-44a9-b630-41d1c0505953,Person,solo,male,GB,1996-10-17,,,2017,1,blue-eyed soul; pop; singer-songwriter,pop,,FALSE,
28gNT5KBp7IjEOQoevXf9N,Camilo,Camilo,https://image-cdn-fa.spotifycdn.com/image/ab6761610000e5ebadd0f250a8602d9bb093161f,ed90e3b4-8eb8-4f9d-a24e-533c0c60c720,Person,solo,male,CO,1994-03-16,,,2019,1,latin; latin pop; reggaeton,latin,,FALSE,
21E3waRsmPlU7jZsS13rcj,Ne-Yo,Ne-Yo,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5ebca118e3822061f7b7f6bc537,a4a01f5d-18e7-4571-8c3a-76ec0e24e2d7,Person,solo,male,US,1979-10-18,,,2005,1,contemporary r&b; dance-pop; electro house; electropop; hip hop; hip house; pop rap,pop,electronic,FALSE,
5C4PDR4LnhZTbVnKWXuDKD,Morat,Morat,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb3d53e852b5c27d3bc5aa3439,664f5669-a550-49fc-a38c-951594ddc9a4,Group,group,male,CO,,,,2015,4,latin; latin pop,latin,,,FALSE
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,Bryson Tiller,https://image-cdn-fa.spotifycdn.com/image/ab6761610000e5ebb0ff28b9d4bed74c66901b2b,d8fd8d9b-473b-4f06-83c8-869b1bb9de89,Person,solo,male,US,1993-01-02,,,2015,1,alternative r&b; contemporary r&b; trap; trap soul,r&b,hip hop,FALSE,
3MZsBdqDrRTJihTHQrO6Dq,Joji,Joji,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb6e69601c22184c630a2d5e71,8264722b-df00-467a-858e-5c97cda169c9,Person,solo,male,US,1992-09-18,,,2017,1,alternative r&b; art pop; ballad; instrumental hip hop; lo-fi hip hop; trip hop,hip hop,other,FALSE,
6fOMl44jA4Sp5b9PpYCkzz,NF,NF,https://image-cdn-fa.spotifycdn.com/image/ab6761610000e5eb8fcc5c49d2116d7251ecbd65,5660a8c7-d0d9-4181-89b4-8e125328e31e,Person,solo,male,US,1991-03-30,,,2011,1,hip hop; pop rap,hip hop,,FALSE,
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,Daniel Caesar,https://image-cdn-fa.spotifycdn.com/image/ab6761610000e5ebe4d94f7cbebb17504c25d419,b46e298d-d3a5-4695-a03e-63e8c523b23e,Person,solo,male,CA,1995-04-05,,,2014,1,alternative r&b; contemporary r&b; r&b,r&b,,FALSE,
6icQOAFXDZKsumw3YXyusw,Lil Yachty,Lil Yachty,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb86c7c38d4c8c461dba55035c,a668565b-41b8-44a8-9d5c-8e609dbf69fc,Person,solo,male,US,1997-08-23,,,2016,1,hip hop; southern hip hop; trap,hip hop,,FALSE,
4xRYI6VqpkE3UwrDrAZL8L,Logic,Logic,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb4309e7be1610df9a1fd34793,713e751f-3ddb-4b77-b3b1-9e6f2e953ad5,Person,solo,male,US,1990-01-22,,,2010,1,east coast hip hop; hip hop; pop rap,hip hop,,FALSE,
1elUiq4X7pxej6FRlrEzjM,Jorge & Mateus,Jorge & Mateus,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5ebcdef7b197f1add89019d6ad4,311e7141-051a-40bc-bce5-7998b6c869ee,Group,group,male,BR,,,,2007,2,country; sertanejo; sertanejo universitário,latin,,,FALSE
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,Martin Garrix,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5ebf5b8ee60f1f4ee3453aba40b,3e1f2ee4-16be-4406-bf18-6173840cf2b1,Person,solo,male,NL,1996-05-15,,,2012,1,big room house; dance-pop; edm; electro house; festival progressive house; tropical house,electronic,,FALSE,
4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,Anirudh Ravichander,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb0f0be2054fe9594026a6b843,cf76861a-c1f5-456d-8d17-5994d05eecf8,Person,solo,male,IN,1990-10-16,,,2012,1,filmi,other,,FALSE,
0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,Shreya Ghoshal,https://image-cdn-fa.spotifycdn.com/image/ab6761610000e5ebe7ce89a9f5d11e0ba26677eb,a8740949-50a8-4e71-8133-17d31b7cf69c,Person,solo,female,IN,1984-03-12,,,1998,1,filmi,other,,FALSE,
1lP7f2evgtQcghRmqkPb3j,mgk,Machine Gun Kelly,https://i.scdn.co/image/ab6761610000e5eb85e7615a199f8b17fabfcd61,f6af669a-56ea-448a-a044-de76181ada33,Person,solo,male,US,1990-04-22,,,2010,1,hip hop; pop punk; pop rap; rap rock,hip hop,pop,FALSE,
25uiPmTg16RbhZWAqwLBy5,Charli xcx,Charli XCX,https://image-cdn-fa.spotifycdn.com/image/ab6761610000e5ebdaa727dd396963ba92dd6377,260b6184-8828-48eb-945c-bc4cb6fc34ca,Person,solo,female,GB,1992-08-02,,,2011,1,bubblegum bass; dance-pop; deconstructed club; electronic; electropop; europop; experimental hip hop; hyperpop; pop; synth-pop,pop,electronic,FALSE,
2dIgFjalVxs4ThymZ67YCE,Stray Kids,Stray Kids,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5ebf9887d2c9288f0e50a3fd69f,142b343d-bf5a-428c-a64f-6d1a7566bbe9,Group,group,male,KR,,,,2018,8,electropop; k-pop; pop rap; trap; trap edm,k-pop,hip hop,,FALSE
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,Lil Nas X,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb3758a33e782b46bd7f174e1d,0b30341b-b59d-4979-8130-b66c0e475321,Person,solo,male,US,1999-04-09,,,2018,1,hip hop; pop rap; trap,hip hop,,FALSE,
738wLrAtLtCtFOLvQBXOXp,Major Lazer,Major Lazer,https://image-cdn-fa.spotifycdn.com/image/ab6761610000e5ebd18eac6f1e653551fd05a793,75be165a-ad83-4d12-bd28-f589a15c479f,Group,group,male,JM,,,,2009,3,art pop; dance-pop; dancehall; edm; electronic; electropop; jungle terror; moombahton,electronic,pop,,FALSE
3IW7ScrzXmPvZhB27hmfgy,Jul,Jul,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5ebb1c1670f8b27fcf5fe14ed3a,8e6c44df-06fc-4852-83d0-ef0efed6630a,Person,solo,male,FR,1990-01-14,,,2013,1,hip hop; pop rap,hip hop,,FALSE,
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,Megan Thee Stallion,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb65a9ac943abab7c9935ea282,ee27b2d8-648c-4a9d-a68c-e55066959975,Person,solo,female,US,1995-02-15,,,2016,1,hip hop; pop rap; southern hip hop; trap,hip hop,,FALSE,
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,PARTYNEXTDOOR,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb957320981e31e862bc2fb844,f23ef341-33bd-47c1-b83c-846a78581f05,Person,solo,male,CA,1993-07-03,,,2013,1,alternative r&b; contemporary r&b; r&b; soul; trap soul,r&b,,FALSE,
4obzFoKoKRHIphyHzJ35G3,Becky G,Becky G,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb1b7aaeedafb29af4c513ebd3,eb90c8b8-d733-4c14-a293-105c3d1ba9b3,Person,solo,female,US,1997-03-02,,,2013,1,contemporary r&b; cumbia; dance-pop; hip hop; latin; latin pop; pop; pop rap; reggaeton; teen pop,latin,pop,FALSE,
0XwVARXT135rw8lyw1EeWP,Christian Nodal,Christian Nodal,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5ebb81c7e6a8d9beb21d3489ef0,7f464f95-2410-4040-a88e-1dbe96f17fcd,Person,solo,male,MX,1999-01-11,,,2017,1,mariachi; ranchera; regional mexicano,other,,FALSE,
3E6xrwgnVfYCrCs0ePERDz,Wisin,Wisin,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb5b0446d66cb8dff19ea33ff5,6a6eea03-b435-446c-bab1-312b45580aee,Person,solo,male,PR,1979-12-19,,,2004,1,latin; reggaeton,latin,,FALSE,
